ID,Rank,Rating,Title,Year,Votes
1,6,8.9,12 Angry Men,1957,212873
2,93,8.3,2001: A Space Odyssey,1968,232896
3,192,8,8_,1963,46140
4,198,8,A Beautiful Mind,2001,266226
5,61,8.4,A Clockwork Orange,1971,297729
6,219,8,A Fistful of Dollars,1964,64677
7,103,8.3,A Separation,2011,69217
8,218,8,A Streetcar Named Desire,1951,51283
9,40,8.5,Alien,1979,298172
10,58,8.4,Aliens,1986,271683
11,94,8.3,All About Eve,1950,49351
12,228,8,All Quiet on the Western Front,1930,32358
13,88,8.3,Amadeus,1984,152126
14,48,8.5,American Beauty,1999,461957
15,35,8.5,American History X,1998,399053
16,180,8.1,Amores Perros,2000,101525
17,62,8.4,AmŽlie,2001,293481
18,202,8,Anatomy of a Murder,1959,26152
19,153,8.1,Annie Hall,1977,105097
20,36,8.5,Apocalypse Now,1979,259845
21,181,8.1,Argo,2012,38423
22,247,8,Arsenic and Old Lace,1944,39582
23,49,8.5,Back to the Future,1985,349706
24,206,8,Barry Lyndon,1975,58731
25,104,8.3,Batman Begins,2005,492255
26,224,8,Beauty and the Beast,1991,148886
27,169,8.1,Ben-Hur,1959,89460
28,91,8.3,Bicycle Thieves,1948,46765
29,238,8,Big Fish,2003,233787
30,171,8.1,Black Swan,2010,293388
31,124,8.2,Blade Runner,1982,277862
32,84,8.3,Braveheart,1995,396886
33,234,8,Bringing Up Baby,1938,30849
34,147,8.1,Butch Cassidy and the Sundance Kid,1969,86811
35,25,8.6,Casablanca,1942,238894
36,149,8.1,Casino,1995,178722
37,240,8,Castle in the Sky,1986,43064
38,77,8.3,Chinatown,1974,122771
39,76,8.3,Cinema Paradiso,1988,75474
40,44,8.5,Citizen Kane,1941,189099
41,42,8.5,City Lights,1931,50657
42,20,8.7,City of God,2002,284859
43,134,8.2,Cool Hand Luke,1967,71265
44,71,8.4,Das Boot,1981,100898
45,167,8.1,Dial M for Murder,1954,52370
46,101,8.3,Die Hard,1988,320718
47,207,8,District 9,2009,306809
48,178,8.1,Dog Day Afternoon,1975,103813
49,176,8.1,Donnie Darko,2001,335465
50,57,8.4,Double Indemnity,1944,56025
51,107,8.3,Downfall,2004,138764
52,38,8.5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,216524
53,75,8.4,Eternal Sunshine of the Spotless Mind,2004,361957
54,127,8.2,Fargo,1996,242157
55,10,8.8,Fight Club,1999,660645
56,162,8.1,Finding Nemo,2003,322454
57,111,8.3,For a Few Dollars More,1965,77553
58,19,8.7,Forrest Gump,1994,562114
59,82,8.3,Full Metal Jacket,1987,252484
60,186,8.1,Gandhi,1982,88313
61,63,8.4,Gladiator,2000,487214
62,158,8.1,Gone with the Wind,1939,124834
63,159,8.1,Good Will Hunting,1997,280826
64,15,8.7,Goodfellas,1990,381571
65,122,8.2,Gran Torino,2008,283902
66,105,8.3,Grave of the Fireflies,1988,60430
67,177,8.1,Groundhog Day,1993,232912
68,217,8,Harry Potter and the Deathly Hallows: Part 2,2011,227654
69,225,8,Harvey,1950,31884
70,120,8.2,Heat,1995,242794
71,143,8.1,High Noon,1952,48722
72,144,8.1,Hotel Rwanda,2004,150081
73,164,8.1,How to Train Your Dragon,2010,182363
74,190,8,Howl's Moving Castle,2004,94717
75,245,8,In the Heat of the Night,1967,31578
76,249,8,In the Mood for Love,2000,40572
77,222,8,In the Name of the Father,1993,48299
78,14,8.7,Inception,2010,662487
79,96,8.3,Indiana Jones and the Last Crusade,1989,279022
80,211,8,Infernal Affairs,2002,53798
